filename,duration,rms,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
101_1b1_Al_sc_Meditron.wav,20.0,0.057403333,0.0028914674021565494,-514.9936,114.05797,70.83374,42.343895,33.381153,28.30319,20.421572,16.728666,18.336998,16.610003,8.980888,3.9418554,6.2898097
101_1b1_Pr_sc_Meditron.wav,20.0,0.03440538,0.002496786391773163,-572.27423,103.21981,55.83576,30.918076,33.454845,37.208916,28.643633,19.013521,16.889244,15.521619,9.797287,6.101767,8.826741
102_1b1_Ar_sc_Meditron.wav,20.0,0.022424769,0.003013927715654952,-581.0259,121.42439,56.854656,25.989847,35.01552,43.327957,28.37052,6.9004793,-0.106402166,5.3843594,10.393681,9.222772,4.5601134
103_2b2_Ar_mc_LittC2SE.wav,20.0,0.2546468,0.00146484375,-408.5753,71.78754,48.593674,33.985435,29.905483,26.933563,21.499882,17.717262,16.376213,14.398994,11.514177,10.215443,10.3888
104_1b1_Al_sc_Litt3200.wav,15.856,0.070400886,0.009301954700100807,-436.6601,116.21909,77.805374,38.077644,12.869563,4.523577,6.3689938,11.328662,15.777694,18.462313,18.896528,17.124926,13.742711
104_1b1_Ar_sc_Litt3200.wav,25.584,0.04942904,0.010384521484375,-430.24042,119.05895,75.88617,33.79707,10.279898,4.6852508,6.562279,8.726984,10.779851,13.757666,16.058165,15.294709,11.527244
104_1b1_Ll_sc_Litt3200.wav,18.48,0.029980352,0.005249445826124567,-477.21838,77.95514,59.708706,39.173645,23.587961,15.333045,12.830762,13.353949,14.84719,16.128498,16.442442,15.276834,12.565639
104_1b1_Lr_sc_Litt3200.wav,15.024,0.07725858,0.0034460189494680852,-418.84747,66.95789,53.814297,38.457977,25.832405,18.092287,15.127148,15.692041,17.921078,19.782032,19.897324,18.050028,14.8404045
104_1b1_Pl_sc_Litt3200.wav,22.96,0.06637272,0.008385108373955431,-428.31415,107.86463,77.449684,44.23018,19.56421,6.387957,2.7869275,5.8851037,12.036122,16.818504,17.379345,14.254314,9.945838
104_1b1_Pr_sc_Litt3200.wav,23.728,0.059855126,0.00684646647574124,-447.0023,97.73341,69.8652,40.4996,19.41482,7.90299,3.7675815,5.3670416,10.678082,15.930691,17.70134,15.658774,11.869799
